Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
General Protest,immigration ban,1.0,1000.0,2017-02-05,4,Lexington,KY
General Protest ,immigration ban ,1.0,200.0,2017-02-05,4,Grand Rapids,MI
general protesters,"end the ""muslim ban""",1.0,200.0,2017-02-05,4,Kalamazoo,MI
School kids,Immigration ban,1.0,200.0,2017-02-05,4,Asheville ,NC
general protestors,immigration ban,1.0,400.0,2017-02-05,4,Canton,NY
general protesters,immigration ban,1.0,1000.0,2017-02-05,4,Harrisburg,PA
Tennessee Immigrant and Refugee Rights Coalition,immigration ban,1.0,200.0,2017-02-05,4,Nashville,TN
General protestors,Protest immigration ban,1.0,450.0,2017-02-05,4,Austin ,TX
General protestors,Protest immigration ban and Trump's policies,1.0,500.0,2017-02-05,4,Houston,TX
general protesters,"end the ""muslim ban""",1.0,200.0,2017-02-05,4,Janesville,WI
General protest ,Immigration ban,1.0,1000.0,2017-02-05,4,Charleston,WV
general protesters,Demanding Bridgeport become a sanctuary city,1.0,100.0,2017-02-06,5,Bridgeport,CT
Stockton University Student Senate,Calling for Stockton University to become sanctuary campus,1.0,100.0,2017-02-06,5,Galloway,NJ
Cornell University Students,"Against ""Muslim ban""",1.0,100.0,2017-02-06,5,Ithaca,NY
T'Ruah Rabbinical Group,"Against ""Muslim ban""",1.0,200.0,2017-02-06,5,New York,NY
Westchester Social Justice Community,In support of immigrant community,1.0,75.0,2017-02-06,5,White Plains,NY
general protesters,Against immigration executive order,1.0,250.0,2017-02-07,6,Port Orange,FL
Indivisible Kansas City,"Against ""travel ban"" and DeVos nomination",1.0,100.0,2017-02-07,6,Kansas City,MO
students; general protesters,anti-immigration ban; anti-Wall on US-Mexico border,1.0,130.0,2017-02-07,6,Long Beach,MS
New Jersey Working Families Alliance,Demanding New Brunswick be a Sanctuary City,1.0,62.0,2017-02-07,6,New Brunswick,NJ
students,Against immigration executive order,1.0,600.0,2017-02-07,6,New York,NY
general protesters,Demanding release of undocumented immigrant Martin Esquivel Hernandez,1.0,100.0,2017-02-07,6,Pittsburgh,PA
Indivisible Charlottesville,Against immigration executive order,1.0,200.0,2017-02-07,6,Charlottesville,VA
Puente Arizona,Against deportation of undocumented immigrant,1.0,100.0,2017-02-08,7,Phoenix,AZ
Students Organize for Syria,Against immigration executive order,1.0,300.0,2017-02-08,7,Orlando,FL
Academics United,Against immigration executive order,1.0,75.0,2017-02-09,8,Tuscaloosa,AL
Academics United,Against immigration executive order,1.0,150.0,2017-02-09,8,Tempe,AZ
general protesters,Against stepped up immigration raids,1.0,125.0,2017-02-09,8,Los Angeles,CA
Academics United,"Against ""Immigration ban""",1.0,50.0,2017-02-09,8,Gainesville,FL
Academics United,"Against ""Muslim ban""",1.0,200.0,2017-02-09,8,Ames,IA
students and faculty,"Against ""Muslim ban""",1.0,130.0,2017-02-09,8,Champaign,IL
Academics United,"Against ""Muslim ban""",1.0,200.0,2017-02-09,8,Evanston,IL
